"","date_time","value"
"302",2017-11-11 17:14:00,6398.32
"303",2017-11-11 17:19:00,6428.53
"304",2017-11-11 17:24:00,6407.62
"305",2017-11-11 17:29:00,6392.77
"306",2017-11-11 17:34:00,6384.45
"307",2017-11-11 17:39:00,6364.84
"308",2017-11-11 17:44:00,6358.44
"309",2017-11-11 17:49:00,6384.1
"310",2017-11-11 17:54:00,6399.51
"311",2017-11-11 17:59:00,6388.31
"312",2017-11-11 18:04:00,6351.21
"313",2017-11-11 18:09:00,6351.35
"314",2017-11-11 18:14:00,6344.83
"315",2017-11-11 18:19:00,6354.88
"316",2017-11-11 18:24:00,6297.09
"317",2017-11-11 18:29:00,6317.79
"318",2017-11-11 18:34:00,6305.87
"319",2017-11-11 18:39:00,6271.47
"320",2017-11-11 18:44:00,6239.28
"321",2017-11-11 18:49:00,6227.83
"322",2017-11-11 18:54:00,6226.05
"323",2017-11-11 18:59:00,6204.22
"324",2017-11-11 19:04:00,6242.06
"325",2017-11-11 19:09:00,6217.94
"326",2017-11-11 19:14:00,6388.01
"327",2017-11-11 19:19:00,6346.35
"328",2017-11-11 19:24:00,6314.43
"329",2017-11-11 19:29:00,6344.91
"330",2017-11-11 19:34:00,6395.81
"331",2017-11-11 19:39:00,6363.65
"332",2017-11-11 19:44:00,6326.22
"333",2017-11-11 19:49:00,6322.01
"334",2017-11-11 19:54:00,6287.48
"335",2017-11-11 19:59:00,6315.54
"336",2017-11-11 20:04:00,6353.68
"337",2017-11-11 20:09:00,6318.26
"338",2017-11-11 20:14:00,6324.82
"339",2017-11-11 20:19:00,6317.33
"340",2017-11-11 20:24:00,6325.66
"341",2017-11-11 20:29:00,6307.11
"342",2017-11-11 20:34:00,6293.99
"343",2017-11-11 20:39:00,6309.66
"344",2017-11-11 20:44:00,6305.93
"345",2017-11-11 20:49:00,6332.65
"346",2017-11-11 20:54:00,6381.5
"347",2017-11-11 20:59:00,6451.9
"348",2017-11-11 21:04:00,6487.75
"349",2017-11-11 21:09:00,6399.2
"350",2017-11-11 21:14:00,6381.06
"351",2017-11-11 21:19:00,6409.53
"352",2017-11-11 21:24:00,6354.1
"353",2017-11-11 21:29:00,6423.14
"354",2017-11-11 21:34:00,6419.46
"355",2017-11-11 21:39:00,6434.03
"356",2017-11-11 21:44:00,6491.13
"357",2017-11-11 21:49:00,6443.45
"358",2017-11-11 21:54:00,6477.64
"359",2017-11-11 21:59:00,6480.23
"360",2017-11-11 22:04:00,6471.02
"361",2017-11-11 22:09:00,6448.5
"362",2017-11-11 22:14:00,6397.88
"363",2017-11-11 22:19:00,6427.27
"364",2017-11-11 22:24:00,6409.73
"365",2017-11-11 22:29:00,6407.19
"366",2017-11-11 22:34:00,6415.2
"367",2017-11-11 22:39:00,6360.41
"368",2017-11-11 22:44:00,6370.99
"369",2017-11-11 22:49:00,6388.03
"370",2017-11-11 22:54:00,6388.54
"371",2017-11-11 22:59:00,6334.03
"372",2017-11-11 23:04:00,6307.17
"373",2017-11-11 23:09:00,6263.89
"374",2017-11-11 23:14:00,6315.6
"375",2017-11-11 23:19:00,6299.18
"376",2017-11-11 23:24:00,6333.98
"377",2017-11-11 23:29:00,6315.75
"378",2017-11-11 23:34:00,6330.31
"379",2017-11-11 23:39:00,6354.45
"380",2017-11-11 23:44:00,6358.25
"381",2017-11-11 23:49:00,6346.94
"382",2017-11-11 23:54:00,6369.49
"383",2017-11-11 23:59:00,6357.6
"384",2017-11-12 00:04:00,6295.45
"385",2017-11-12 00:09:00,6280.25
"386",2017-11-12 00:14:00,6317.69
"387",2017-11-12 00:19:00,6323.53
"388",2017-11-12 00:24:00,6329.84
"389",2017-11-12 00:29:00,6296.2
"390",2017-11-12 00:34:00,6285.63
"391",2017-11-12 00:39:00,6267.06
"392",2017-11-12 00:44:00,6256.65
"393",2017-11-12 00:49:00,6266.68
"394",2017-11-12 00:54:00,6253.39
"395",2017-11-12 00:59:00,6251.82
"396",2017-11-12 01:04:00,6211.93
"397",2017-11-12 01:09:00,6229.1
"398",2017-11-12 01:14:00,6203.12
"399",2017-11-12 01:19:00,6240.87
"400",2017-11-12 01:24:00,6291.11
"401",2017-11-12 01:29:00,6259.76
"402",2017-11-12 01:34:00,6246.21
"403",2017-11-12 01:39:00,6254.68
"404",2017-11-12 01:44:00,6257.11
"405",2017-11-12 01:49:00,6204.36
"406",2017-11-12 01:54:00,6172.27
"407",2017-11-12 01:59:00,6194
"408",2017-11-12 02:04:00,6177.87
"409",2017-11-12 02:09:00,6147.29
"410",2017-11-12 02:14:00,6130.64
"411",2017-11-12 02:19:00,6106.13
"412",2017-11-12 02:24:00,6232.92
"413",2017-11-12 02:29:00,6143.57
"414",2017-11-12 02:34:00,6203.53
"415",2017-11-12 02:39:00,6237.96
"416",2017-11-12 02:44:00,6226.08
"417",2017-11-12 02:49:00,6185.49
"418",2017-11-12 02:54:00,6170.53
"419",2017-11-12 02:59:00,6147.69
"420",2017-11-12 03:04:00,6112.57
"421",2017-11-12 03:09:00,6169.33
"422",2017-11-12 03:14:00,6083.47
"423",2017-11-12 03:19:00,6132.78
"424",2017-11-12 03:24:00,6061.39
"425",2017-11-12 03:29:00,6074.94
"426",2017-11-12 03:34:00,5984.44
"427",2017-11-12 03:39:00,5957.61
"428",2017-11-12 03:44:00,5928.35
"429",2017-11-12 03:49:00,5977.89
"430",2017-11-12 03:54:00,5904.72
"431",2017-11-12 03:59:00,6010.82
"432",2017-11-12 04:04:00,6123.94
"433",2017-11-12 04:09:00,6181.03
"434",2017-11-12 04:14:00,6073.17
"435",2017-11-12 04:19:00,6125.95
"436",2017-11-12 04:24:00,6029.08
"437",2017-11-12 04:29:00,6097.65
"438",2017-11-12 04:34:00,6111.16
"439",2017-11-12 04:39:00,6167.93
"440",2017-11-12 04:44:00,6065.89
"441",2017-11-12 04:49:00,6091.43
"442",2017-11-12 04:54:00,6091.66
"443",2017-11-12 04:59:00,5948.54
"444",2017-11-12 05:04:00,6019.76
"445",2017-11-12 05:09:00,5922.26
"446",2017-11-12 05:14:00,5944.21
"447",2017-11-12 05:19:00,5903.56
"448",2017-11-12 05:24:00,5770.52
"449",2017-11-12 05:29:00,5791.97
"450",2017-11-12 05:34:00,5786.54
"451",2017-11-12 05:39:00,5734.25
"452",2017-11-12 05:44:00,5699.83
"453",2017-11-12 05:49:00,5728.77
"454",2017-11-12 05:54:00,5760.98
"455",2017-11-12 05:59:00,5777.72
"456",2017-11-12 06:04:00,5836.41
"457",2017-11-12 06:09:00,5754.79
"458",2017-11-12 06:14:00,5688.6
"459",2017-11-12 06:19:00,5672
"460",2017-11-12 06:24:00,5636.5
"461",2017-11-12 06:29:00,5707.21
"462",2017-11-12 06:34:00,5616.63
"463",2017-11-12 06:39:00,5627.18
"464",2017-11-12 06:44:00,5678.85
"465",2017-11-12 06:49:00,5519.01
"466",2017-11-12 06:54:00,5650.65
"467",2017-11-12 06:59:00,5584.55
"468",2017-11-12 07:04:00,5742.55
"469",2017-11-12 07:09:00,5952.59
"470",2017-11-12 07:14:00,5936.66
"471",2017-11-12 07:19:00,5910.15
"472",2017-11-12 07:24:00,6120.61
"473",2017-11-12 07:29:00,6272.63
"474",2017-11-12 07:34:00,6051.49
"475",2017-11-12 07:39:00,6097.96
"476",2017-11-12 07:44:00,6221.88
"477",2017-11-12 07:49:00,6275.57
"478",2017-11-12 07:54:00,6170.13
"479",2017-11-12 07:59:00,6163.8
"480",2017-11-12 08:04:00,6201.71
"481",2017-11-12 08:09:00,6314.76
"482",2017-11-12 08:14:00,6584.91
"483",2017-11-12 08:19:00,6350.05
"484",2017-11-12 08:24:00,6602.77
"485",2017-11-12 08:29:00,6062.66
"486",2017-11-12 08:34:00,6367.41
"487",2017-11-12 08:39:00,6199.18
"488",2017-11-12 08:44:00,6161.28
"489",2017-11-12 08:49:00,5975.2
"490",2017-11-12 08:54:00,6167.31
